ཨཱོ་	o:_⁵⁵ 
བགྲབས་	_tʂ_əp_¹³² 
བགྲམ་	_tʂ_am_¹³ 
བགྲམས་	_tʂ_am_¹³² 
བགྲར་	_tʂ_ar_¹³ 
བགྲལ་	_tʂ_ɛ:_¹³ 
བགྲས་	_tʂ_ɛ?_¹³² 
བགྲི་	_tʂ_i_¹³ 
བགྲིག་	_tʂ_i?_¹³² 
བགྲིགས་	_tʂ_i?_¹³² 
བགྲིང་	_tʂ_iŋ_¹³ 
བགྲིངས་	_tʂ_iŋ_¹³² 
བགྲིད་	_tʂ_i?_¹³² 
བགྲིན་	_tʂ_in_¹³ 
བགྲིབ་	_tʂ_ip_¹³² 
བགྲིབས་	_tʂ_ip_¹³² 
བགྲིམ་	_tʂ_im_¹³ 
བགྲིམས་	_tʂ_im_¹³² 
བགྲིར་	_tʂ_ir_¹³ 
བགྲིས་	_tʂ_i?_¹³² 
བགྲུག་	_tʂ_u?_¹³² 
བགྲུགས་	_tʂ_u?_¹³² 
བགྲུན་	_tʂ_yn_¹³ 
བགྲུབ་	_tʂ_up_¹³² 
བགྲུབས་	_tʂ_up_¹³² 
བགྲུམ་	_tʂ_um_¹³ 
བགྲུམས་	_tʂ_um_¹³² 
བགྲུར་	_tʂ_ur_¹³ 
བགྲུལ་	_tʂ_y:_¹³ 
བགྲེག་	_tʂ_e?_¹³² 
བགྲེགས་	_tʂ_e?_¹³² 
བགྲེང་	_tʂ_eŋ_¹³ 
བགྲེངས་	_tʂ_eŋ_¹³² 
བགྲེད་	_tʂ_e?_¹³² 
བགྲེན་	_tʂ_en_¹³ 
བགྲེབ་	_tʂ_ep_¹³² 
བགྲེབས་	_tʂ_ep_¹³² 
བགྲེམ་	_tʂ_em_¹³ 
བགྲེམས་	_tʂ_em_¹³² 
བགྲེར་	_tʂ_er_¹³ 
བགྲེལ་	_tʂ_e:_¹³ 
བགྲོག་	_tʂ_o?_¹³² 
བགྲོགས་	_tʂ_o?_¹³² 
བགྲོང་	_tʂ_oŋ_¹³ 
བགྲོལ་	_tʂ_ø:_¹³ 
བཅན་	_tɕ_an_⁵⁵ 
བཅི་	_tɕ_i_⁵⁵ 
བཅིག་	_tɕ_i?_⁵¹ 
བཅིད་	_tɕ_i?_⁵¹ 
བཅིན་	_tɕ_in_⁵⁵ 
བཅིམ་	_tɕ_im_⁵⁵ 
བཅིམས་	_tɕ_im_⁵¹ 
བཅིས་	_tɕ_i?_⁵¹ 
བཅུང་	_tɕ_uŋ_⁵⁵ 
བཅུངས་	_tɕ_up_⁵¹ 
བཅུབ་	_tɕ_up_⁵¹ 
བཅུབས་	_tɕ_up_⁵¹ 
བཅུལ་	_tɕ_y:_⁵⁵ 
བཅེ་	_tɕ_e_⁵⁵ 
བཅེག་	_tɕ_e?_⁵¹ 
བཅེགས་	_tɕ_e?_⁵¹ 
བཅེང་	_tɕ_eŋ_⁵⁵ 
བཅེངས་	_tɕ_eŋ_⁵¹ 
བཅེད་	_tɕ_e?_⁵¹ 
བཅེན་	_tɕ_en_⁵⁵ 
བཅེབ་	_tɕ_ep_⁵¹ 
བཅེབས་	_tɕ_ep_⁵¹ 
བཅེལ་	_tɕ_e:_⁵⁵ 
བཅེས་	_tɕ_e?_⁵¹ 
བཅོགས་	_tɕ_o?_⁵¹ 
བཅོང་	_tɕ_oŋ_⁵⁵ 
བཅོངས་	_tɕ_oŋ_⁵¹ 
བཅོན་	_tɕ_on_⁵⁵ 
བཅོབ་	_tɕ_op_⁵¹ 
བཅོབས་	_tɕ_op_⁵¹ 
བཅོར་	_tɕ_or_⁵⁵ 
བཏངས་	_t_aŋ_⁵¹ 
བཏན་	_t_an_⁵⁵ 
བཏབས་	_t_əp_⁵¹ 
བཏར་	_t_ar_⁵⁵ 
བཏལ་	_t_ɛ:_⁵⁵ 
བཏས་	_t_ɛ?_⁵¹ 
བཏི་	_t_i_⁵⁵ 
བཏིད་	_t_i?_⁵¹ 
བཏིན་	_t_in_⁵⁵ 
བཏིབས་	_t_ip_⁵¹ 
བཏིམ་	_t_im_⁵⁵ 
བཏིམས་	_t_im_⁵¹ 
བཏིར་	_t_ir_⁵⁵ 
བཏིས་	_t_i?_⁵¹ 
བཏུག་	_t_u?_⁵¹ 
བཏུགས་	_t_u?_⁵¹ 
བཏུན་	_t_yn_⁵⁵ 
བཏེ་	_t_e_⁵⁵ 
བཏེང་	_t_eŋ_⁵⁵ 
བཏེངས་	_t_eŋ_⁵¹ 
བཏེད་	_t_e?_⁵¹ 
བཏེན་	_t_en_⁵⁵ 
བཏེབ་	_t_ep_⁵¹ 
བཏེབས་	_t_ep_⁵¹ 
བཏེམ་	_t_em_⁵⁵ 
བཏེམས་	_t_em_⁵¹ 
བཏེར་	_t_er_⁵⁵ 
བཏེལ་	_t_e:_⁵⁵ 
བཏེས་	_t_e?_⁵¹ 
བཏོ་	_t_o_⁵⁵ 
བཏོང་	_t_oŋ_⁵⁵ 
བཏོངས་	_t_oŋ_⁵¹ 
བཏོབ་	_t_op_⁵¹ 
བཏོབས་	_t_op_⁵¹ 
བཏོམ་	_t_om_⁵⁵ 
བཏོམས་	_t_om_⁵¹ 
བཏོར་	_t_or_⁵⁵ 
བཏོས་	_t_ø?_⁵¹ 
བདགས་	_t_a?_¹³² 
བདཨང་	_t_aŋ_¹³ 
བདངས་	_t_aŋ_¹³² 
བདད་	_t_ɛ?_¹³² 
བདན་	_t_an_¹³ 
བདབ་	_t_ap_¹³² 
བདབས་	_t_əp_¹³² 
བདི་	_t_i_¹³ 
བདིག་	_t_i?_¹³² 
བདིགས་	_t_i?_¹³² 
བདིང་	_t_iŋ_¹³ 
བདིངས་	_t_iŋ_¹³² 
བདིད་	_t_i?_¹³² 
བདིན་	_t_in_¹³ 
བདིབ་	_t_ip_¹³² 
བདིབས་	_t_ip_¹³² 
བདིམ་	_t_im_¹³ 
བདིམས་	_t_im_¹³² 
བདིར་	_t_ir_¹³ 
བདིལ་	_t_i:_¹³ 
བདིས་	_t_i?_¹³² 
བདུ་	_t_u_¹³ 
བདུབ་	_t_up_¹³² 
བདུབས་	_t_up_¹³² 
བདུམ་	_t_um_¹³ 
བདུམས་	_t_um_¹³² 
བདུར་	_t_ur_¹³ 
བདུལ་	_t_y:_¹³ 
བདུས་	_t_y?_¹³² 
བདེག་	_t_e?_¹³² 
བདེགས་	_t_e?_¹³² 
བདེང་	_t_eŋ_¹³ 
བདེངས་	_t_eŋ_¹³² 
བདེད་	_t_e?_¹³² 
བདེབ་	_t_ep_¹³² 
བདེབས་	_t_ep_¹³² 
བདེམ་	_t_em_¹³ 
བདེམས་	_t_em_¹³² 
བདེལ་	_t_e:_¹³ 
བདེས་	_t_e?_¹³² 
བདོགས་	_t_o?_¹³² 
བདོང་	_t_oŋ_¹³ 
བདོངས་	_t_oŋ_¹³² 
བདོན་	_t_on_¹³ 
བདོབ་	_t_op_¹³² 
བདོབས་	_t_op_¹³² 
བདོམ་	_t_om_¹³ 
བདོམས་	_t_om_¹³² 
བདོས་	_t_ø?_¹³² 
བམས་	_ph_am_¹³² 
བཙར་	_ts_ar_⁵⁵ 
བཙས་	_ts_ɛ?_⁵¹ 
བཙི་	_ts_i_⁵⁵ 
བཙིག་	_ts_i?_⁵¹ 
བཙིགས་	_ts_i?_⁵¹ 
བཙིང་	_ts_iŋ_⁵⁵ 
བཙིངས་	_ts_iŋ_⁵¹ 
བཙིད་	_ts_i?_⁵¹ 
བཙིན་	_ts_in_⁵⁵ 
བཙིབ་	_ts_ip_⁵¹ 
བཙིབས་	_ts_ip_⁵¹ 
བཙིམ་	_ts_im_⁵⁵ 
བཙིམས་	_ts_im_⁵¹ 
བཙིལ་	_ts_i:_⁵⁵ 
བཙིས་	_ts_i?_⁵¹ 
བཙུ་	_ts_u_⁵⁵ 
བཙུང་	_ts_uŋ_⁵⁵ 
བཙུངས་	_ts_up_⁵¹ 
བཙུབས་	_ts_up_⁵¹ 
བཙུར་	_ts_ur_⁵⁵ 
བཙུལ་	_ts_y:_⁵⁵ 
བཙུས་	_ts_y?_⁵¹ 
བཙེ་	_ts_e_⁵⁵ 
བཙེག་	_ts_e?_⁵¹ 
བཙེགས་	_ts_e?_⁵¹ 
བཙེང་	_ts_eŋ_⁵⁵ 
བཙེངས་	_ts_eŋ_⁵¹ 
བཙེད་	_ts_e?_⁵¹ 
བཙེན་	_ts_en_⁵⁵ 
བཙེབ་	_ts_ep_⁵¹ 
བཙེབས་	_ts_ep_⁵¹ 
བཙེར་	_ts_er_⁵⁵ 
བཙེལ་	_ts_e:_⁵⁵ 
བཙོབ་	_ts_op_⁵¹ 
བཙོབས་	_ts_op_⁵¹ 
བཙོམ་	_ts_om_⁵⁵ 
བཙོམས་	_ts_om_⁵¹ 
བཙོར་	_ts_or_⁵⁵ 
བཙོལ་	_ts_ø:_⁵⁵ 
བཞང་	_ɕ_aŋ_¹³ 
བཞན་	_ɕ_an_¹³ 
བཞལ་	_ɕ_ɛ:_¹³ 
བཞས་	_ɕ_ɛ?_¹³² 
བཞིག་	_ɕ_i?_¹³² 
བཞིང་	_ɕ_iŋ_¹³ 
བཞིངས་	_ɕ_iŋ_¹³² 
བཞིད་	_ɕ_i?_¹³² 
བཞིམ་	_ɕ_im_¹³ 
བཞིམས་	_ɕ_im_¹³² 
བཞིལ་	_ɕ_i:_¹³ 
བཞུག་	_ɕ_u?_¹³² 
བཞུགས་	_ɕ_u?_¹³² 
བཞུང་	_ɕ_uŋ_¹³ 
བཞུངས་	_ɕ_up_¹³² 
བཞུབ་	_ɕ_up_¹³² 
བཞུབས་	_ɕ_up_¹³² 
བཞུམ་	_ɕ_um_¹³ 
བཞུལ་	_ɕ_y:_¹³ 
བཞེ་	_ɕ_e_¹³ 
བཞེག་	_ɕ_e?_¹³² 
བཞེགས་	_ɕ_e?_¹³² 
བཞེབ་	_ɕ_ep_¹³² 
བཞེབས་	_ɕ_ep_¹³² 
བཞེམ་	_ɕ_em_¹³ 
བཞེམས་	_ɕ_em_¹³² 
བཞེལ་	_ɕ_e:_¹³ 
བཞོང་	_ɕ_oŋ_¹³ 
བཞོབས་	_ɕ_op_¹³² 
བཞོམ་	_ɕ_om_¹³ 
བཞོམས་	_ɕ_om_¹³² 
བཟ་	_s_a_¹³ 
བཟག་	_s_a?_¹³² 
བཟགས་	_s_a?_¹³² 
བཟམ་	_s_am_¹³ 
བཟམས་	_s_am_¹³² 
བཟའི་	_s_ɛ:_¹³ 
བཟལ་	_s_ɛ:_¹³ 
བཟིག་	_s_i?_¹³² 
བཟིགས་	_s_i?_¹³² 
བཟིང་	_s_iŋ_¹³ 
བཟིངས་	_s_iŋ_¹³² 
བཟིབ་	_s_ip_¹³² 
བཟིབས་	_s_ip_¹³² 
བཟིམ་	_s_im_¹³ 
བཟིམས་	_s_im_¹³² 
བཟིར་	_s_ir_¹³ 
བཟིལ་	_s_i:_¹³ 
བཟིས་	_s_i?_¹³² 
བཟུ་	_s_u_¹³ 
བཟུག་	_s_u?_¹³² 
བཟུགས་	_s_u?_¹³² 
བཟུངས་	_s_up_¹³² 
བཟུན་	_s_yn_¹³ 
བཟུབ་	_s_up_¹³² 
བཟུབས་	_s_up_¹³² 
བཟུམ་	_s_um_¹³ 
བཟུམས་	_s_um_¹³² 
བཟུལ་	_s_y:_¹³ 
བཟུས་	_s_y?_¹³² 
བཟེགས་	_s_e?_¹³² 
བཟེང་	_s_eŋ_¹³ 
བཟེངས་	_s_eŋ_¹³² 
བཟེན་	_s_en_¹³ 
བཟེབ་	_s_ep_¹³² 
བཟེབས་	_s_ep_¹³² 
བཟེམ་	_s_em_¹³ 
བཟེམས་	_s_em_¹³² 
བཟེར་	_s_er_¹³ 
བཟེལ་	_s_e:_¹³ 
བཟེས་	_s_e?_¹³² 
བཟོག་	_s_o?_¹³² 
བཟོགས་	_s_o?_¹³² 
བཟོང་	_s_oŋ_¹³ 
བཟོངས་	_s_oŋ_¹³² 
བཟོན་	_s_on_¹³ 
བཟོབ་	_s_op_¹³² 
བཟོབས་	_s_op_¹³² 
བཟོམ་	_s_om_¹³ 
བཟོམས་	_s_om_¹³² 
བཟོར་	_s_or_¹³ 
བཟོལ་	_s_ø:_¹³ 
བཟླ་	_t_a_¹³ 
བཟླང་	_t_aŋ_¹³ 
བཟླངས་	_t_aŋ_¹³² 
བཟླད་	_t_ɛ?_¹³² 
བཟླན་	_t_an_¹³ 
བཟླབ་	_t_ap_¹³² 
བཟླབས་	_t_əp_¹³² 
བཟླམ་	_t_am_¹³ 
བཟླམས་	_t_am_¹³² 
བཟླར་	_t_ar_¹³ 
བཟླལ་	_t_ɛ:_¹³ 
བཟླི་	_t_i_¹³ 
བཟླིག་	_t_i?_¹³² 
བཟླིགས་	_t_i?_¹³² 
བཟླིང་	_t_iŋ_¹³ 
བཟླིངས་	_t_iŋ_¹³² 
བཟླིད་	_t_i?_¹³² 
བཟླིན་	_t_in_¹³ 
བཟླིབ་	_t_ip_¹³² 
བཟླིབས་	_t_ip_¹³² 
བཟླིམ་	_t_im_¹³ 
བཟླིམས་	_t_im_¹³² 
བཟླིར་	_t_ir_¹³ 
བཟླིལ་	_t_i:_¹³ 
བཟླིས་	_t_i?_¹³² 
བཟླུ་	_t_u_¹³ 
བཟླུང་	_t_uŋ_¹³ 
བཟླུངས་	_t_up_¹³² 
བཟླུད་	_t_y?_¹³² 
བཟླུན་	_t_yn_¹³ 
བཟླུབ་	_t_up_¹³² 
བཟླུབས་	_t_up_¹³² 
བཟླུར་	_t_ur_¹³ 
བཟླུལ་	_t_y:_¹³ 
བཟླུས་	_t_y?_¹³² 
བཟླེ་	_t_e_¹³ 
བཟླེག་	_t_e?_¹³² 
བཟླེགས་	_t_e?_¹³² 
བཟླེང་	_t_eŋ_¹³ 
བཟླེངས་	_t_eŋ_¹³² 
བཟླེད་	_t_e?_¹³² 
བཟླེན་	_t_en_¹³ 
བཟླེབ་	_t_ep_¹³² 
བཟླེབས་	_t_ep_¹³² 
བཟླེམ་	_t_em_¹³ 
བཟླེམས་	_t_em_¹³² 
བཟླེར་	_t_er_¹³ 
བཟླེལ་	_t_e:_¹³ 
བཟླེས་	_t_e?_¹³² 
བཟློང་	_t_oŋ_¹³ 
བཟློངས་	_t_oŋ_¹³² 
བཟློད་	_t_ø?_¹³² 
བཟློན་	_t_on_¹³ 
བཟློབ་	_t_op_¹³² 
བཟློབས་	_t_op_¹³² 
བཟློམ་	_t_om_¹³ 
བཟློམས་	_t_om_¹³² 
བཟློར་	_t_or_¹³ 
བཟློལ་	_t_ø:_¹³ 
བའོ་	_ph_ø_¹³ 
བརྐར་	_k_ar_⁵⁵ 
བརྐལ་	_k_ɛ:_⁵⁵ 
བརྐས་	_k_ɛ?_⁵¹ 
བརྐིང་	_k_iŋ_⁵⁵ 
བརྐིད་	_k_i?_⁵¹ 
བརྐིན་	_k_in_⁵⁵ 
བརྐིབ་	_k_ip_⁵¹ 
བརྐིམ་	_k_im_⁵⁵ 
བརྐིམས་	_k_im_⁵¹ 
བརྐིར་	_k_ir_⁵⁵ 
བརྐིལ་	_k_i:_⁵⁵ 
བརྐིས་	_k_i?_⁵¹ 
བརྐུག་	_k_u?_⁵¹ 
བརྐེ་	_k_e_⁵⁵ 
བརྐེག་	_k_e?_⁵¹ 
བརྐེགས་	_k_e?_⁵¹ 
བརྐེང་	_k_eŋ_⁵⁵ 
བརྐེངས་	_k_eŋ_⁵¹ 
བརྐེད་	_k_e?_⁵¹ 
བརྐེན་	_k_en_⁵⁵ 
བརྐེབ་	_k_ep_⁵¹ 
བརྐེབས་	_k_ep_⁵¹ 
བརྐེམ་	_k_em_⁵⁵ 
བརྐེམས་	_k_em_⁵¹ 
བརྐེར་	_k_er_⁵⁵ 
བརྐེལ་	_k_e:_⁵⁵ 
བརྐེས་	_k_e?_⁵¹ 
བརྐོག་	_k_o?_⁵¹ 
བརྐོགས་	_k_o?_⁵¹ 
བརྐོང་	_k_oŋ_⁵⁵ 
བརྐོངས་	_k_oŋ_⁵¹ 
བརྐོད་	_k_ø?_⁵¹ 
བརྐོབ་	_k_op_⁵¹ 
བརྐོབས་	_k_op_⁵¹ 
བརྐོམ་	_k_om_⁵⁵ 
བརྐོམས་	_k_om_⁵¹ 
བརྐོར་	_k_or_⁵⁵ 
བརྐྱ་	_c_a_⁵⁵ 
བརྐྱག་	_c_a?_⁵¹ 
བརྐྱགས་	_c_a?_⁵¹ 
བརྐྱད་	_c_ɛ?_⁵¹ 
བརྐྱན་	_c_an_⁵⁵ 
བརྐྱབ་	_c_ap_⁵¹ 
བརྐྱབས་	_c_əp_⁵¹ 
བརྐྱམ་	_c_am_⁵⁵ 
བརྐྱམས་	_c_am_⁵¹ 
བརྐྱར་	_c_ar_⁵⁵ 
བརྐྱས་	_c_ɛ?_⁵¹ 
བརྐྱི་	_c_i_⁵⁵ 
བརྐྱིག་	_c_i?_⁵¹ 
བརྐྱིགས་	_c_i?_⁵¹ 
བརྐྱིང་	_c_iŋ_⁵⁵ 
བརྐྱིངས་	_c_iŋ_⁵¹ 
བརྐྱིད་	_c_i?_⁵¹ 
བརྐྱིན་	_c_in_⁵⁵ 
བརྐྱིབ་	_c_ip_⁵¹ 
བརྐྱིབས་	_c_ip_⁵¹ 
བརྐྱིམ་	_c_im_⁵⁵ 
བརྐྱིམས་	_c_im_⁵¹ 
བརྐྱིར་	_c_ir_⁵⁵ 
བརྐྱིལ་	_c_i:_⁵⁵ 
བརྐྱིས་	_c_i?_⁵¹ 
བརྐྱུ་	_c_u_⁵⁵ 
བརྐྱུག་	_c_u?_⁵¹ 
བརྐྱུགས་	_c_u?_⁵¹ 
བརྐྱུང་	_c_uŋ_⁵⁵ 
བརྐྱུངས་	_c_up_⁵¹ 
བརྐྱུད་	_c_y?_⁵¹ 
བརྐྱུན་	_c_yn_⁵⁵ 
བརྐྱུབ་	_c_up_⁵¹ 
བརྐྱུབས་	_c_up_⁵¹ 
བརྐྱུམ་	_c_um_⁵⁵ 
བརྐྱུམས་	_c_um_⁵¹ 
བརྐྱུར་	_c_ur_⁵⁵ 
བརྐྱུལ་	_c_y:_⁵⁵ 
བརྐྱུས་	_c_y?_⁵¹ 
བརྐྱེ་	_c_e_⁵⁵ 
བརྐྱེག་	_c_e?_⁵¹ 
བརྐྱེགས་	_c_e?_⁵¹ 
བརྐྱེང་	_c_eŋ_⁵⁵ 
བརྐྱེངས་	_c_eŋ_⁵¹ 
བརྐྱེད་	_c_e?_⁵¹ 
བརྐྱེན་	_c_en_⁵⁵ 
བརྐྱེབ་	_c_ep_⁵¹ 
བརྐྱེབས་	_c_ep_⁵¹ 
བརྐྱེམ་	_c_em_⁵⁵ 
བརྐྱེམས་	_c_em_⁵¹ 
བརྐྱེར་	_c_er_⁵⁵ 
བརྐྱེལ་	_c_e:_⁵⁵ 
བརྐྱེས་	_c_e?_⁵¹ 
བརྐྱོ་	_c_o_⁵⁵ 
བརྐྱོག་	_c_o?_⁵¹ 
བརྐྱོགས་	_c_o?_⁵¹ 
བརྐྱོང་	_c_oŋ_⁵⁵ 
བརྐྱོངས་	_c_oŋ_⁵¹ 
བརྐྱོད་	_c_ø?_⁵¹ 
བརྐྱོན་	_c_on_⁵⁵ 
བརྐྱོབ་	_c_op_⁵¹ 
བརྐྱོབས་	_c_op_⁵¹ 
བརྐྱོམ་	_c_om_⁵⁵ 
བརྐྱོམས་	_c_om_⁵¹ 
བརྐྱོར་	_c_or_⁵⁵ 
བརྐྱོལ་	_c_ø:_⁵⁵ 
བརྐྱོས་	_c_ø?_⁵¹ 
བརྒ་	_k_a_¹³ 
བརྒག་	_k_a?_¹³² 
བརྒང་	_k_aŋ_¹³ 
བརྒངས་	_k_aŋ_¹³² 
བརྒབ་	_k_ap_¹³² 
བརྒབས་	_k_əp_¹³² 
བརྒམ་	_k_am_¹³ 
བརྒམས་	_k_am_¹³² 
བརྒར་	_k_ar_¹³ 
བརྒས་	_k_ɛ?_¹³² 
བརྒི་	_k_i_¹³ 
བརྒིག་	_k_i?_¹³² 
བརྒིགས་	_k_i?_¹³² 
བརྒིང་	_k_iŋ_¹³ 
བརྒིངས་	_k_iŋ_¹³² 
བརྒིད་	_k_i?_¹³² 
བརྒིན་	_k_in_¹³ 
བརྒིབ་	_k_ip_¹³² 
བརྒིབས་	_k_ip_¹³² 
བརྒིམ་	_k_im_¹³ 
བརྒིམས་	_k_im_¹³² 
བརྒིར་	_k_ir_¹³ 
བརྒིལ་	_k_i:_¹³ 
བརྒིས་	_k_i?_¹³² 
བརྒུ་	_k_u_¹³ 
བརྒུག་	_k_u?_¹³² 
བརྒུགས་	_k_u?_¹³² 
བརྒུང་	_k_uŋ_¹³ 
བརྒུངས་	_k_up_¹³² 
བརྒུད་	_k_y?_¹³² 
བརྒུན་	_k_yn_¹³ 
བརྒུབ་	_k_up_¹³² 
བརྒུབས་	_k_up_¹³² 
བརྒུམ་	_k_um_¹³ 
བརྒུམས་	_k_um_¹³² 
བརྒུར་	_k_ur_¹³ 
བརྒུལ་	_k_y:_¹³ 
བརྒུས་	_k_y?_¹³² 
བརྒེ་	_k_e_¹³ 
བརྒེག་	_k_e?_¹³² 
བརྒེགས་	_k_e?_¹³² 
བརྒེང་	_k_eŋ_¹³ 
བརྒེངས་	_k_eŋ_¹³² 
བརྒེད་	_k_e?_¹³² 
བརྒེན་	_k_en_¹³ 
བརྒེབ་	_k_ep_¹³² 
བརྒེབས་	_k_ep_¹³² 
བརྒེམ་	_k_em_¹³ 
བརྒེམས་	_k_em_¹³² 
བརྒེར་	_k_er_¹³ 
བརྒེལ་	_k_e:_¹³ 
བརྒེས་	_k_e?_¹³² 
བརྒོ་	_k_o_¹³ 
བརྒོག་	_k_o?_¹³² 
བརྒོགས་	_k_o?_¹³² 
བརྒོང་	_k_oŋ_¹³ 
བརྒོངས་	_k_oŋ_¹³² 
བརྒོད་	_k_ø?_¹³² 
བརྒོན་	_k_on_¹³ 
བརྒོབ་	_k_op_¹³² 
བརྒོབས་	_k_op_¹³² 
བརྒོམ་	_k_om_¹³ 
བརྒོམས་	_k_om_¹³² 
བརྒོར་	_k_or_¹³ 
བརྒོལ་	_k_ø:_¹³ 
བརྒོས་	_k_ø?_¹³² 
བརྒྱམ་	_c_am_¹³ 
བརྒྱམས་	_c_am_¹³² 
བརྒྱི་	_c_i_¹³ 
བརྒྱིག་	_c_i?_¹³² 
བརྒྱིགས་	_c_i?_¹³² 
བརྒྱིང་	_c_iŋ_¹³ 
བརྒྱིངས་	_c_iŋ_¹³² 
བརྒྱིད་	_c_i?_¹³² 
བརྒྱིན་	_c_in_¹³ 
བརྒྱིབ་	_c_ip_¹³² 
བརྒྱིབས་	_c_ip_¹³² 
བརྒྱིམ་	_c_im_¹³ 
བརྒྱིམས་	_c_im_¹³² 
བརྒྱིར་	_c_ir_¹³ 
བརྒྱིལ་	_c_i:_¹³ 
བརྒྱིས་	_c_i?_¹³² 
བརྒྱུན་	_c_yn_¹³ 
བརྒྱུབ་	_c_up_¹³² 
བརྒྱུབས་	_c_up_¹³² 
བརྒྱུམ་	_c_um_¹³ 
བརྒྱུམས་	_c_um_¹³² 
བརྒྱུར་	_c_ur_¹³ 
བརྒྱུལ་	_c_y:_¹³ 
བརྒྱེ་	_c_e_¹³ 
བརྒྱེག་	_c_e?_¹³² 
བརྒྱེགས་	_c_e?_¹³² 
བརྒྱེང་	_c_eŋ_¹³ 
བརྒྱེངས་	_c_eŋ_¹³² 
བརྒྱེད་	_c_e?_¹³² 
བརྒྱེན་	_c_en_¹³ 
བརྒྱེབ་	_c_ep_¹³² 
བརྒྱེབས་	_c_ep_¹³² 
བརྒྱེམ་	_c_em_¹³ 
བརྒྱེམས་	_c_em_¹³² 
བརྒྱེར་	_c_er_¹³ 
བརྒྱེལ་	_c_e:_¹³ 
བརྒྱེས་	_c_e?_¹³² 
བརྒྱོག་	_c_o?_¹³² 
བརྒྱོགས་	_c_o?_¹³² 
བརྒྱོང་	_c_oŋ_¹³ 
བརྒྱོངས་	_c_oŋ_¹³² 
བརྒྱོད་	_c_ø?_¹³² 
བརྒྱོན་	_c_on_¹³ 
བརྒྱོབ་	_c_op_¹³² 
བརྒྱོབས་	_c_op_¹³² 
བརྒྱོམ་	_c_om_¹³ 
བརྒྱོམས་	_c_om_¹³² 
བརྒྱོར་	_c_or_¹³ 
བརྒྱོལ་	_c_ø:_¹³ 
བརྔག་	_ŋ_a?_¹³² 
བརྔགས་	_ŋ_a?_¹³² 
བརྔང་	_ŋ_aŋ_¹³ 
བརྔངས་	_ŋ_aŋ_¹³² 
བརྔར་	_ŋ_ar_¹³ 
བརྔལ་	_ŋ_ɛ:_¹³ 
བརྔི་	_ŋ_i_¹³ 
བརྔིག་	_ŋ_i?_¹³² 
བརྔིགས་	_ŋ_i?_¹³² 
བརྔིང་	_ŋ_iŋ_¹³ 
བརྔིངས་	_ŋ_iŋ_¹³² 
བརྔིད་	_ŋ_i?_¹³² 
བརྔིན་	_ŋ_in_¹³ 
བརྔིབ་	_ŋ_ip_¹³² 
བརྔིབས་	_ŋ_ip_¹³² 
བརྔིམ་	_ŋ_im_¹³ 
བརྔིམས་	_ŋ_im_¹³² 
བརྔིར་	_ŋ_ir_¹³ 
བརྔིལ་	_ŋ_i:_¹³ 
བརྔིས་	_ŋ_i?_¹³² 
བརྔུ་	_ŋ_u_¹³ 
བརྔུག་	_ŋ_u?_¹³² 
བརྔུགས་	_ŋ_u?_¹³² 
བརྔུང་	_ŋ_uŋ_¹³ 
བརྔུངས་	_ŋ_up_¹³² 
བརྔུད་	_ŋ_y?_¹³² 
བརྔུན་	_ŋ_yn_¹³ 
བརྔུམ་	_ŋ_um_¹³ 
བརྔུམས་	_ŋ_um_¹³² 
བརྔུར་	_ŋ_ur_¹³ 
བརྔུལ་	_ŋ_y:_¹³ 
བརྔུས་	_ŋ_y?_¹³² 
བརྔེ་	_ŋ_e_¹³ 
བརྔེག་	_ŋ_e?_¹³² 
བརྔེགས་	_ŋ_e?_¹³² 
བརྔེང་	_ŋ_eŋ_¹³ 
བརྔེངས་	_ŋ_eŋ_¹³² 
བརྔེད་	_ŋ_e?_¹³² 
བརྔེན་	_ŋ_en_¹³ 
བརྔེབ་	_ŋ_ep_¹³² 
བརྔེབས་	_ŋ_ep_¹³² 
བརྔེམ་	_ŋ_em_¹³ 
བརྔེམས་	_ŋ_em_¹³² 
བརྔེར་	_ŋ_er_¹³ 
བརྔེལ་	_ŋ_e:_¹³ 
བརྔེས་	_ŋ_e?_¹³² 
བརྔོག་	_ŋ_o?_¹³² 
བརྔོགས་	_ŋ_o?_¹³² 
བརྔོང་	_ŋ_oŋ_¹³ 
བརྔོངས་	_ŋ_oŋ_¹³² 
བརྔོབ་	_ŋ_op_¹³² 
བརྔོབས་	_ŋ_op_¹³² 
བརྔོམ་	_ŋ_om_¹³ 
བརྔོམས་	_ŋ_om_¹³² 
བརྔོར་	_ŋ_or_¹³ 
བརྔོལ་	_ŋ_ø:_¹³ 
བརྗ་	_tɕ_a_¹³ 
བརྗག་	_tɕ_a?_¹³² 
བརྗགས་	_tɕ_a?_¹³² 
བརྗང་	_tɕ_aŋ_¹³ 
བརྗངས་	_tɕ_aŋ_¹³² 
བརྗད་	_tɕ_ɛ?_¹³² 
བརྗན་	_tɕ_an_¹³ 
བརྗབ་	_tɕ_ap_¹³² 
བརྗབས་	_tɕ_əp_¹³² 
བརྗམ་	_tɕ_am_¹³ 
བརྗམས་	_tɕ_am_¹³² 
བརྗར་	_tɕ_ar_¹³ 
བརྗལ་	_tɕ_ɛ:_¹³ 
བརྗས་	_tɕ_ɛ?_¹³² 
བརྗི་	_tɕ_i_¹³ 
བརྗིག་	_tɕ_i?_¹³² 
